Gene_ID      Average Shortest Path to all Disease genes
1   4.441613588110403
310   3.8527954706298657
1026   3.6443736730360934
2886   3.910474168435952
6606   3.8368719037508847
6622   3.816348195329087
7083   3.7523000707714083
10321   5.441613588110403
2   3.859164897381458
259   4.078202406227884
309   3.822009907997169
348   3.9575371549893843
351   3.6553432413305025
354   4.04069355980184
567   4.03927813163482
998   3.6638358103326256
2193   4.454706298655343
2639   4.029016277423921
2669   3.9798301486199574
2885   3.299363057324841
3014   3.824486907289455
3163   3.9847841472045293
3309   3.556617126680821
3437   4.2784854918612885
3553   4.323425336164189
3565   4.514861995753716
3586   4.278131634819533
3817   4.362703467799009
3931   4.352087756546355
3952   4.375088464260439
4035   3.8496107572540694
4313   4.062278839348903
4653   4.055909412597311
4803   4.437367303609342
4846   3.863765038924275
5047   4.166312809624912
5154   4.183651804670913
5155   4.154635527246993
5886   3.968152866242038
5908   3.9953998584571835
6009   4.090941259731069
6462   3.9522292993630574
7001   4.252300070771408
7045   4.423920736022647
7050   3.95930644019816
7276   3.9122434536447277
7353   4.168435951875442
7372   4.457183297947629
8728   4.246992215145081
8764   3.8711960368011322
8848   3.8796886058032554
9361   4.170559094125973
9510   4.72965322009908
22976   4.233545647558387
22983   4.101203113941968
23154   4.3747346072186835
23176   4.49929228591649
24138   4.481953290870488
26085   4.816702052370842
51013   4.2441613588110405
51295   4.016631280962491
55729   3.8605803255484785
64223   4.458244869072894
84106   4.14897381457891
10   5.148619957537155
8260   4.148619957537155
12   4.268931351733899
1215   4.706298655343241
1504   4.804317055909412
1506   4.883934890304317
1511   4.202406227883935
1990   4.693913658881812
1991   4.333687190375088
2064   3.7087756546355273
2153   4.354564755838641
3211   4.3011323425336165
4312   4.140835102618542
4485   4.852441613588111
5422   4.099079971691436
5970   3.5658174097664546
9507   4.611111111111111
64215   4.297593772116065
14   4.437367303609342
3654   3.85102618542109
6293   4.193559801840057
8553   4.019462137296532
51497   4.232130219391366
55216   4.5272469922151455
64782   4.2147912243453645
81631   4.045293701344657
15   4.197452229299363
438   4.785562632696391
2147   4.307501769285209
4188   3.8527954706298657
5566   3.508846426043878
5567   3.6847133757961785
5568   3.701698513800425
7534   3.458952583156405
16   4.2717622080679405
1933   3.85102618542109
2113   3.743099787685775
3326   3.502476999292286
18   4.554140127388535
216   4.587048832271762
217   4.254069355980184
218   4.536801132342534
219   4.3446567586694975
220   4.536801132342534
221   4.352087756546355
222   4.536801132342534
223   4.343241330502477
224   4.357041755130927
501   4.523708421797593
4329   4.428874734607219
7915   4.303255484784147
8659   4.542816702052371
8854   4.561924982307148
19   4.043524416135881
316   4.711606510969569
335   4.022646850672328
3984   4.073602264685067
4008   4.075725406935598
5174   4.24486907289455
5360   4.497169143665959
6390   4.385350318471337
6640   3.951875442321302
6641   4.583864118895966
6645   4.468152866242038
6721   3.738853503184713
7074   3.940198159943383
7359   5.043524416135881
7402   4.06687898089172
7508   4.282377919320594
8572   4.5799716914366595
8772   3.969922151450814
8777   4.300778485491861
8825   4.29794762915782
9231   4.275300778485492
9699   4.127388535031847
9826   4.013446567586695
23365   4.325194621372965
27295   4.848195329087049
50944   4.077140835102618
51678   4.2558386411889595
51735   4.444798301486199
55327   4.437013446567587
57120   4.062986553432413
64130   4.552016985138004
20   4.399858457183298
6667   3.4341825902335454
6670   3.870488322717622
55755   4.173389950460014
22   4.519815994338288
2235   4.694267515923567
4609   3.5226468506723285
23   4.279547062986554
3692   3.8906581740976645
5564   3.7926397735314934
23421   3.9798301486199574
54984   3.989384288747346
55646   3.951875442321302
65125   3.789455060155697
25   3.494692144373673
27   3.9341825902335454
29   4.482661004953998
58   3.7604387827317765
274   3.9964614295824488
301   3.732484076433121
322   3.9536447275300777
326   3.8669497523000707
472   3.7544232130219393
545   3.8358103326256194
558   4.01238499646143
598   3.8559801840056616
610   4.1252653927813165
613   3.7445152158527955
656   4.377211606510969
672   3.577848549186129
675   3.8800424628450108
695   3.815640481245577
718   4.213729653220099
729   4.148619957537155
831   4.0272469922151455
842   3.9118895966029723
847   4.22965322009908
857   3.6772823779193207
867   3.7310686482661004
887   4.146850672328379
930   3.9869072894550603
983   3.5690021231422504
987   4.3789808917197455
996   3.908351026185421
2533   4.156758669497523
2534   3.547062986553432
2547   3.697806086341118
2550   3.989384288747346
2571   3.948336871903751
2799   4.067232837933475
2810   3.778485491861288
2876   4.267869780608634
2887   3.9097664543524417
2889   3.9769992922859165
2906   4.016277423920736
2954   4.141542816702052
2971   4.168082094833688
3055   3.817055909412597
3073   4.283085633404105
3224   3.9964614295824488
3636   3.9805378627034678
3689   3.886058032554848
3716   3.8361641896673744
3717   3.737791932059448
3725   3.4897381457891012
3815   3.826963906581741
3927   3.961429582448691
3958   3.9929228591648975
3980   4.0046001415428165
4007   4.099079971691436
4036   4.014861995753716
4053   4.380042462845011
4067   3.683297947629158
4137   3.765038924274593
4193   3.651450813871196
4194   3.862703467799009
4233   3.7975937721160653
4253   4.126680820948337
4288   4.061217268223638
4582   3.845364472753008
4654   3.7629157820240624
4690   3.664543524416136
4739   3.91932059447983
4792   3.6631280962491153
4854   4.164189667374381
4914   3.9069355980184004
4969   4.286270346779901
4998   3.954352441613588
5027   4.095541401273885
5052   3.8772116065109694
5062   3.748407643312102
5077   3.9387827317763624
5159   3.7926397735314934
5295   3.5725406935598016
5310   3.910474168435952
5335   3.62137296532201
5359   3.859164897381458
5424   3.923213021939137
5430   3.7229299363057327
5530   3.929228591648974
5580   3.6450813871196037
5587   3.8496107572540694
5591   3.6252653927813165
5688   3.908704883227176
5770   3.7183297947629157
5775   4.009554140127388
5777   3.770700636942675
5782   3.8361641896673744
5829   3.7200990799716913
5883   3.9964614295824488
5888   3.9830148619957537
5893   4.131280962491154
5901   3.7420382165605095
5921   3.8205944798301488
5925   3.6369426751592355
5989   4.144373673036093
6091   4.294055201698514
6098   4.1847133757961785
6452   3.9879688605803256
6464   3.6479122434536446
6549   4.145789101203114
6581   4.4334748761500355
6654   3.819179051663128
6655   3.9012738853503186
6708   4.191790516631281
6709   3.6949752300070773
6714   3.3881811748053785
6764   4.135527246992215
6788   4.061217268223638
6789   4.049186128803963
6792   4.185067232837934
7013   3.927105449398443
7015   3.8276716206652512
7080   3.908704883227176
7112   3.886411889596603
7150   3.7469922151450814
7157   3.452937013446568
7161   3.7965322009907996
7189   3.5251238499646145
7272   4.116772823779193
7275   4.037508846426044
7409   3.74345364472753
7441   4.405166312809625
7454   3.800424628450106
7529   3.6737438075017694
7531   3.664543524416136
7532   3.565463552724699
7533   3.7119603680113236
7535   3.872965322009908
8202   3.7317763623496107
8470   4.002123142250531
8482   4.170912951167728
8506   4.04140127388535
8529   4.112880396319887
8601   4.022646850672328
8626   3.859164897381458
8646   4.105449398443029
8724   3.937721160651097
8751   3.9416135881104033
8871   4.077140835102618
8933   4.383934890304317
8936   3.975230007077141
8976   3.959660297239915
9051   4.015569709837226
9054   4.185067232837934
9187   4.135527246992215
9228   4.01521585279547
9229   3.9748761500353855
9282   3.908704883227176
9472   4.043170559094126
9564   3.8039631988676574
9569   4.263623496107573
9610   4.092710544939845
9744   4.081033262561925
9757   3.9122434536447277
9784   4.020877565463553
9793   4.056970983722576
9820   4.240976645435244
9908   4.10898796886058
25920   3.929936305732484
26052   4.156050955414012
26469   4.248053786270347
26960   4.275654635527247
27120   4.350318471337579
27154   4.115357395612173
29886   4.135527246992215
29934   4.153220099079972
50807   3.9228591648973814
50937   4.320240622788393
51428   3.962137296532201
51466   4.145435244161359
51517   4.00070771408351
55114   3.934536447275301
55321   4.494692144373673
55824   4.077848549186129
56141   4.438782731776362
56658   4.001061571125265
56955   4.069709837225761
56961   4.481245576786978
56995   4.204175513092711
57088   4.020877565463553
57142   3.924628450106157
57190   4.112172682236377
57396   4.354210898796886
57506   4.128803963198868
57716   4.28273177636235
58512   4.036801132342534
60385   4.185067232837934
64111   4.349964614295825
64714   4.010969568294409
64780   4.010615711252654
65268   4.117480537862703
79723   3.9847841472045293
79890   4.069355980184006
79930   4.172328379334749
80831   4.08067940552017
80852   4.1687898089171975
81857   4.094833687190375
81928   4.266100495399859
83541   4.030785562632697
83660   4.237791932059448
83747   4.069709837225761
84287   4.494692144373673
85358   3.993984430290163
90990   4.343241330502477
91179   4.169497523000707
91746   4.105449398443029
91768   4.0640481245576785
92591   4.112880396319887
284086   4.087048832271762
344148   4.122788393489031
26   4.4727530077848545
314   4.566171266808209
3067   4.9292285916489735
3176   5.058740268931352
4128   4.3195329087048835
4129   4.280254777070064
4353   4.99929228591649
4953   4.139065817409766
5409   5.001061571125265
6303   3.935244161358811
6723   4.40339702760085
6799   4.76963906581741
6817   4.996107572540693
6818   4.504246284501062
8288   4.387473460721869
8639   4.427459306440198
284273   4.748053786270347
3265   3.881457891012031
4294   4.017692852087756
80306   3.924628450106157
28   5.706298655343241
65983   4.89171974522293
84283   4.893489030431706
30   4.323425336164189
34   4.375442321302194
35   4.4723991507431
36   4.449044585987261
51   4.438782731776362
549   4.599079971691436
3030   4.103326256192498
3032   3.964968152866242
3295   4.16277423920736
